"State","District","Crop","Season","Yield-2015-16","Yield-2016-17","Yield-2017-18"
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Total","550.00","600.00",""
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Kharif","1141.00","1388.00","1100.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Rabi","950.00","","1133.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Summer","1425.00","1800.00","1036.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Total","1158.00","1525.00","1062.00"
"Odisha","Dhenkanal","Cereals","Kharif","1200.00","1577.00","1110.00"
"Odisha","Dhenkanal","Cereals","Rabi","1617.00","2876.00","1389.00"
"Odisha","Dhenkanal","Cereals","Summer","1233.00","2591.00","2457.00"
"Odisha","Dhenkanal","Cereals","Total","1593.00","2856.00","1386.00"
"Odisha","Dhenkanal","Urad","Kharif","344.00","500.00","200.00"
"Odisha","Dhenkanal","Urad","Rabi","435.00","461.00","394.00"
"Odisha","Dhenkanal","Urad","Summer","","505.00","393.00"
"Odisha","Dhenkanal","Urad","Total","435.00","466.00","394.00"
"Odisha","Dhenkanal","Moong","Kharif","","474.00",""
"Odisha","Dhenkanal","Moong","Rabi","357.00","491.00","411.00"
"Odisha","Dhenkanal","Moong","Summer","477.00","445.00","397.00"
"Odisha","Dhenkanal","Moong","Total","460.00","461.00","399.00"
"Odisha","Dhenkanal","Other Pulses","Rabi","397.00","521.00","355.00"
"Odisha","Dhenkanal","Other Pulses","Summer","","","424.00"
"Odisha","Dhenkanal","Other Pulses","Total","397.00","521.00","358.00"
"Odisha","Dhenkanal","Total Pulses","Total","440.00","468.00","394.00"
"Odisha","Dhenkanal","Total Food Grains","Kharif","1198.00","1474.00","1110.00"
"Odisha","Dhenkanal","Total Food Grains","Rabi","1573.00","2766.00","1354.00"
"Odisha","Dhenkanal","Total Food Grains","Summer","483.00","604.00","483.00"
"Odisha","Dhenkanal","Total Food Grains","Total","1535.00","2695.00","1299.00"
"Odisha","Gajapati","Rice","Kharif","","1083.00","1000.00"
"Odisha","Gajapati","Rice","Rabi","972.00","2492.00","2086.00"
"Odisha","Gajapati","Rice","Summer","1000.00","2228.00","2227.00"
"Odisha","Gajapati","Rice","Total","973.00","2484.00","2089.00"
"Odisha","Gajapati","Maize","Kharif","2114.00","2526.00","2314.00"
"Odisha","Gajapati","Maize","Rabi","2733.00","",""
"Odisha","Gajapati","Maize","Summer","","","2100.00"
"Odisha","Gajapati","Maize","Total","2115.00","2526.00","2314.00"
"Odisha","Gajapati","Ragi","Kharif","815.00","800.00","913.00"
"Odisha","Gajapati","Ragi","Rabi","577.00","828.00","700.00"
"Odisha","Gajapati","Ragi","Summer","700.00","700.00","900.00"
"Odisha","Gajapati","Ragi","Total","794.00","801.00","912.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Kharif","815.00","800.00","913.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Rabi","577.00","828.00","700.00"
