"State","District","Crop","Season","Yield-2018-19","Yield-2019-20","Yield-2020-21"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Summer","1187.00","3038.00","2123.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Total","1207.00","1382.00","1761.00"
"Odisha","Dhenkanal","Cereals","Kharif","1345.00","1840.00","1685.00"
"Odisha","Dhenkanal","Cereals","Rabi","3148.00","2763.00","3001.00"
"Odisha","Dhenkanal","Cereals","Summer","2199.00","2399.00","2976.00"
"Odisha","Dhenkanal","Cereals","Total","3128.00","2753.00","2997.00"
"Odisha","Dhenkanal","Tur","Kharif","","928.00",""
"Odisha","Dhenkanal","Tur","Total","","928.00",""
"Odisha","Dhenkanal","Gram","Rabi","","806.00",""
"Odisha","Dhenkanal","Gram","Total","","806.00",""
"Odisha","Dhenkanal","Urad","Kharif","378.00","","530.00"
"Odisha","Dhenkanal","Urad","Rabi","446.00","432.00","437.00"
"Odisha","Dhenkanal","Urad","Summer","514.00","467.00","367.00"
"Odisha","Dhenkanal","Urad","Total","446.00","432.00","440.00"
"Odisha","Dhenkanal","Moong","Kharif","300.00","","561.00"
"Odisha","Dhenkanal","Moong","Rabi","488.00","426.00","459.00"
"Odisha","Dhenkanal","Moong","Summer","385.00","444.00","384.00"
"Odisha","Dhenkanal","Moong","Total","414.00","440.00","411.00"
"Odisha","Dhenkanal","Other Pulses","Rabi","401.00","570.00","423.00"
"Odisha","Dhenkanal","Other Pulses","Summer","365.00","",""
"Odisha","Dhenkanal","Other Pulses","Total","399.00","570.00","423.00"
"Odisha","Dhenkanal","Total Pulses","Total","427.00","648.00","423.00"
"Odisha","Dhenkanal","Total Food Grains","Kharif","1325.00","1103.00","1347.00"
"Odisha","Dhenkanal","Total Food Grains","Rabi","3096.00","2648.00","2920.00"
"Odisha","Dhenkanal","Total Food Grains","Summer","1416.00","831.00","620.00"
"Odisha","Dhenkanal","Total Food Grains","Total","3053.00","2539.00","2876.00"
"Odisha","Gajapati","Rice","Kharif","","1000.00",""
"Odisha","Gajapati","Rice","Rabi","1170.00","2523.00","2486.00"
"Odisha","Gajapati","Rice","Summer","1683.00","1750.00","2000.00"
"Odisha","Gajapati","Rice","Total","1175.00","2517.00","2483.00"
"Odisha","Gajapati","Maize","Kharif","874.00","2075.00","2346.00"
"Odisha","Gajapati","Maize","Summer","","1553.00",""
"Odisha","Gajapati","Maize","Total","874.00","2074.00","2346.00"
"Odisha","Gajapati","Jowar","Kharif","","632.00",""
"Odisha","Gajapati","Jowar","Total","","632.00",""
"Odisha","Gajapati","Bajra","Kharif","","636.00",""
"Odisha","Gajapati","Bajra","Total","","636.00",""
"Odisha","Gajapati","Ragi","Kharif","778.00","837.00","922.00"
"Odisha","Gajapati","Ragi","Rabi","894.00","900.00",""
"Odisha","Gajapati","Ragi","Summer","825.00","529.00","660.00"
"Odisha","Gajapati","Ragi","Total","781.00","835.00","919.00"
"Odisha","Gajapati","Small Millets","Kharif","","523.00",""
"Odisha","Gajapati","Small Millets","Total","","523.00",""
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Kharif","778.00","644.00","922.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Rabi","894.00","900.00",""
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Summer","825.00","529.00","660.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Total","781.00","645.00","919.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Kharif","868.00","1733.00","2296.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Rabi","894.00","900.00",""
"Odisha","Gajapati","Nutri/Coarse Cereals","Summer","825.00","1266.00","660.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Total","868.00","1731.00","2296.00"
"Odisha","Gajapati","Cereals","Kharif","868.00","1733.00","2296.00"
"Odisha","Gajapati","Cereals","Rabi","1170.00","2522.00","2486.00"
"Odisha","Gajapati","Cereals","Summer","1675.00","1667.00","1966.00"
"Odisha","Gajapati","Cereals","Total","1117.00","2192.00","2425.00"
"Odisha","Gajapati","Tur","Kharif","","906.00",""
"Odisha","Gajapati","Tur","Total","","906.00",""
"Odisha","Gajapati","Urad","Rabi","223.00","266.00","288.00"
"Odisha","Gajapati","Urad","Total","223.00","266.00","288.00"
"Odisha","Gajapati","Moong","Rabi","227.00","326.00","262.00"
"Odisha","Gajapati","Moong","Total","227.00","326.00","262.00"
"Odisha","Gajapati","Other Pulses","Kharif","","761.00",""
"Odisha","Gajapati","Other Pulses","Rabi","217.00","702.00","288.00"
"Odisha","Gajapati","Other Pulses","Total","217.00","730.00","288.00"
"Odisha","Gajapati","Total Pulses","Total","224.00","659.00","279.00"
"Odisha","Gajapati","Total Food Grains","Kharif","868.00","1601.00","2296.00"
"Odisha","Gajapati","Total Food Grains","Rabi","1091.00","2307.00","2299.00"
"Odisha","Gajapati","Total Food Grains","Summer","1675.00","1667.00","1966.00"
"Odisha","Gajapati","Total Food Grains","Total","1056.00","2002.00","2297.00"
"Odisha","Ganjam","Rice","Kharif","1222.00","",""
"Odisha","Ganjam","Rice","Rabi","1752.00","2580.00","2860.00"
"Odisha","Ganjam","Rice","Summer","1667.00","2667.00","2167.00"
"Odisha","Ganjam","Rice","Total","1752.00","2580.00","2860.00"
"Odisha","Ganjam","Maize","Kharif","2232.00","2115.00","1979.00"
"Odisha","Ganjam","Maize","Summer","4146.00","2690.00","1653.00"
"Odisha","Ganjam","Maize","Total","2375.00","2127.00","1961.00"
"Odisha","Ganjam","Jowar","Kharif","","612.00",""
"Odisha","Ganjam","Jowar","Total","","612.00",""
"Odisha","Ganjam","Bajra","Kharif","","636.00",""
"Odisha","Ganjam","Bajra","Total","","636.00",""
"Odisha","Ganjam","Ragi","Kharif","914.00","849.00","1041.00"
"Odisha","Ganjam","Ragi","Summer","880.00","700.00","898.00"
"Odisha","Ganjam","Ragi","Total","914.00","849.00","1012.00"
