"State","District","Crop","Season","Yield-2013-14","Yield-2014-15"
"Odisha","Jagatsinghapur","Total Pulses","Total","521.00","452.00"
"Odisha","Jagatsinghapur","Total Food Grains","Kharif","1000.00","1500.00"
"Odisha","Jagatsinghapur","Total Food Grains","Rabi","1959.00","2142.00"
"Odisha","Jagatsinghapur","Total Food Grains","Summer","578.00","541.00"
"Odisha","Jagatsinghapur","Total Food Grains","Total","1544.00","1622.00"
"Odisha","Jajapur","Rice","Kharif","1200.00","1000.00"
"Odisha","Jajapur","Rice","Rabi","1009.00","1939.00"
"Odisha","Jajapur","Rice","Summer","3000.00","2500.00"
"Odisha","Jajapur","Rice","Total","1063.00","1853.00"
"Odisha","Jajapur","Wheat","Summer","1315.00","1994.00"
"Odisha","Jajapur","Wheat","Total","1315.00","1994.00"
"Odisha","Jajapur","Maize","Kharif","803.00","704.00"
"Odisha","Jajapur","Maize","Total","803.00","704.00"
"Odisha","Jajapur","Nutri/Coarse Cereals","Kharif","803.00","704.00"
"Odisha","Jajapur","Nutri/Coarse Cereals","Total","803.00","704.00"
"Odisha","Jajapur","Cereals","Kharif","1199.00","999.00"
"Odisha","Jajapur","Cereals","Rabi","1009.00","1939.00"
"Odisha","Jajapur","Cereals","Summer","2989.00","2496.00"
"Odisha","Jajapur","Cereals","Total","1063.00","1852.00"
"Odisha","Jajapur","Urad","Rabi","153.00","328.00"
"Odisha","Jajapur","Urad","Summer","361.00","296.00"
"Odisha","Jajapur","Urad","Total","155.00","328.00"
"Odisha","Jajapur","Moong","Rabi","110.00",""
"Odisha","Jajapur","Moong","Summer","291.00","266.00"
"Odisha","Jajapur","Moong","Total","290.00","266.00"
"Odisha","Jajapur","Other Pulses","Rabi","239.00","328.00"
"Odisha","Jajapur","Other Pulses","Total","239.00","328.00"
"Odisha","Jajapur","Total Pulses","Total","252.00","290.00"
"Odisha","Jajapur","Total Food Grains","Kharif","1199.00","999.00"
"Odisha","Jajapur","Total Food Grains","Rabi","979.00","1835.00"
"Odisha","Jajapur","Total Food Grains","Summer","764.00","581.00"
"Odisha","Jajapur","Total Food Grains","Total","985.00","1642.00"
"Odisha","Jharsuguda","Rice","Kharif","824.00","957.00"
